time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-11T13:07:28.630Z,-52.3449,17.0687,10,5,mb,,45,20.138,0.66,us,us70007n2t,2020-02-18T18:59:41.040Z,"Southwest of Africa",earthquake,12.1,1.8,0.087,42,reviewed,us,us
2020-02-11T13:02:02.832Z,-56.3787,146.8801,10,4.6,mb,,183,16.002,0.55,us,us70007sfj,2020-02-18T18:16:50.040Z,"West of Macquarie Island",earthquake,18.9,2,0.151,14,reviewed,us,us
2020-02-11T11:07:02.116Z,-25.1508,179.923,477.82,5.4,mww,,54,4.504,0.96,us,us70007n26,2020-02-12T11:09:01.528Z,"South of the Fiji Islands",earthquake,11.1,6.3,0.08,15,reviewed,us,us
2020-02-11T10:37:02.257Z,15.7807,147.8883,10,5.3,mb,,85,2.093,0.58,us,us70007n1x,2020-02-18T10:47:11.916Z,"237km ENE of Saipan, Northern Mariana Islands",earthquake,7,1.9,0.029,399,reviewed,us,us
2020-02-11T10:21:48.223Z,-22.4623,-174.3156,55.94,5.2,mb,,114,5.311,1.2,us,us70007n1t,2020-02-11T10:41:40.040Z,"141km SSE of `Ohonua, Tonga",earthquake,9,7.5,0.075,59,reviewed,us,us
2020-02-11T07:39:57.778Z,-60.4376,-25.682,37.45,4.9,mb,,116,8.487,0.6,us,us70007n0w,2020-02-11T08:07:20.040Z,"163km SSE of Bristol Island, South Sandwich Islands",earthquake,14,6.3,0.079,51,reviewed,us,us
2020-02-10T22:46:50.401Z,35.1805,27.9202,4.59,5,mww,,34,0.72,1.25,us,us70007mw0,2020-02-15T07:07:23.644Z,"73km ESE of Karpathos, Greece",earthquake,4.7,3.9,0.078,16,reviewed,us,us
2020-02-10T19:52:01.422Z,-59.8598,-25.8642,10,5.1,mb,,80,8.04,0.8,us,us70007mr1,2020-02-10T22:52:05.040Z,"99km SSE of Bristol Island, South Sandwich Islands",earthquake,11.6,1.9,0.069,69,reviewed,us,us
2020-02-10T18:20:09.856Z,13.1719,93.2472,45.87,5,mb,,79,1.585,1.06,us,us70007mpw,2020-02-11T00:04:23.040Z,"172km NNE of Bamboo Flat, India",earthquake,4.4,8.5,0.065,74,reviewed,us,us
2020-02-10T16:54:27.452Z,6.0519,126.2387,145.79,4.5,mb,,75,1.204,0.88,us,us70007rxi,2020-02-17T19:47:15.040Z,"34km S of Pondaguitan, Philippines",earthquake,9.1,5.7,0.099,30,reviewed,us,us
2020-02-10T16:49:06.292Z,-17.2862,-177.5302,10,4.6,mb,,77,7.443,0.35,us,us70007rxh,2020-02-17T19:34:34.040Z,"Fiji region",earthquake,7.5,1.9,0.193,13,reviewed,us,us
2020-02-10T14:52:17.341Z,33.3608,141.3023,51.5,4.6,mb,,101,1.271,0.7,us,us70007mjv,2020-02-17T18:03:05.040Z,"143km ENE of Hachijo-jima, Japan",earthquake,6.8,6.2,0.092,35,reviewed,us,us
2020-02-10T14:14:15.740Z,-24.9097,179.3596,517.91,4.6,mb,,90,4.948,0.66,us,us70007rxd,2020-02-17T17:59:03.040Z,"South of the Fiji Islands",earthquake,13.8,9.4,0.116,24,reviewed,us,us
2020-02-10T10:11:08.822Z,36.4534,144.029,37.09,4.8,mb,,139,4.659,0.77,us,us70007mhd,2020-02-12T10:57:57.441Z,"288km ESE of Iwaki, Japan",earthquake,9.5,6.4,0.044,162,reviewed,us,us
